"Address","Occurrences","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","HTTP Canonical","Indexability","Indexability Status"
"http://localhost:4178/pricing","1","index,follow,max-image-preview:large,max-snippet:-1,max-video-preview:-1","","","https://knightlogics.com/pricing","","Non-Indexable","Canonicalised"
"http://localhost:4178/case-study-knight-group","1","index,follow,max-image-preview:large,max-snippet:-1,max-video-preview:-1","","","https://knightlogics.com/case-study-knight-group","","Non-Indexable","Canonicalised"
"http://localhost:4178/?openPackage=ecommerce-payment-links","0","","","","https://knightlogics.com/","","Non-Indexable","Canonicalised"
"http://localhost:4178/?openPackage=ops-simple-lead-tracker","0","","","","https://knightlogics.com/","","Non-Indexable","Canonicalised"
"http://localhost:4178/?openPackage=ops-job-records-system","0","","","","https://knightlogics.com/","","Non-Indexable","Canonicalised"
"http://localhost:4178/?openPackage=ecommerce-launch","0","","","","https://knightlogics.com/","","Non-Indexable","Canonicalised"
"http://localhost:4178/?openPackage=ops-custom-automation-system","0","","","","https://knightlogics.com/","","Non-Indexable","Canonicalised"
"http://localhost:4178/?openPackage=ecommerce-preview-catalog","0","","","","https://knightlogics.com/","","Non-Indexable","Canonicalised"
"http://localhost:4178/?openPackage=website-preview-launch","0","","","","https://knightlogics.com/","","Non-Indexable","Canonicalised"
"http://localhost:4178/?openPackage=website-local-seo-starter","0","","","","https://knightlogics.com/","","Non-Indexable","Canonicalised"
"http://localhost:4178/?openPackage=monthly-visibility-standard","0","","","","https://knightlogics.com/","","Non-Indexable","Canonicalised"
"http://localhost:4178/?openPackage=monthly-local-seo-starter","0","","","","https://knightlogics.com/","","Non-Indexable","Canonicalised"
"http://localhost:4178/style.css?v=20260507a","0","","","","","","Indexable",""
"http://localhost:4178/?openPackage=monthly-growth-management","0","","","","https://knightlogics.com/","","Non-Indexable","Canonicalised"
"http://localhost:4178/?openPackage=website-live-essential","0","","","","https://knightlogics.com/","","Non-Indexable","Canonicalised"
"http://localhost:4178/?openPackage=monthly-visibility-pro","0","","","","https://knightlogics.com/","","Non-Indexable","Canonicalised"
"http://localhost:4178/?openPackage=ecommerce-growth-store","0","","","","https://knightlogics.com/","","Non-Indexable","Canonicalised"
"http://localhost:4178/pricing/package-checkout.js?v=20260509f","0","","","","","","Indexable",""
"http://localhost:4178/?openPackage=website-search-foundation-plus","0","","","","https://knightlogics.com/","","Non-Indexable","Canonicalised"
"http://localhost:4178/?openPackage=ops-full-growth-system","0","","","","https://knightlogics.com/","","Non-Indexable","Canonicalised"
"http://localhost:4178/?openPackage=website-local-launch-plus","0","","","","https://knightlogics.com/","","Non-Indexable","Canonicalised"
"http://localhost:4178/?openPackage=ops-growth-system-starter","0","","","","https://knightlogics.com/","","Non-Indexable","Canonicalised"
"http://localhost:4178/?openPackage=website-live-plus","0","","","","https://knightlogics.com/","","Non-Indexable","Canonicalised"
"http://localhost:4178/script.js?v=20260509a","0","","","","","","Indexable",""
"http://localhost:4178/?openPackage=ops-automated-job-records","0","","","","https://knightlogics.com/","","Non-Indexable","Canonicalised"
"http://localhost:4178/images/ai-orchestrator-logo.png","0","","","","","","Indexable",""
"http://localhost:4178/images/B-Magic%27s%20Auto%20Vid%20Compiler.webp","0","","","","","","Indexable",""
"http://localhost:4178/?openPackage=ecommerce-advanced-system","0","","","","https://knightlogics.com/","","Non-Indexable","Canonicalised"
"http://localhost:4178/?openPackage=website-search-foundation","0","","","","https://knightlogics.com/","","Non-Indexable","Canonicalised"
"http://localhost:4178/images/KnightLogics%20-%20%20Rich%20Main.png","0","","","","","","Indexable",""
"http://localhost:4178/images/KnightLogics%20-%20Indexed.png","0","","","","","","Indexable",""
"http://localhost:4178/?openPackage=ops-contractor-crm-starter","0","","","","https://knightlogics.com/","","Non-Indexable","Canonicalised"
"http://localhost:4178/images/KnightLogics%20-%20Breadcrumbs.png","0","","","","","","Indexable",""
"http://localhost:4178/images/KnightLogics%20-%20Rich%20Local.png","0","","","","","","Indexable",""
"http://localhost:4178/images/KnightLogics%20-%20Rich%20Organization.png","0","","","","","","Indexable",""
"http://localhost:4178/projects-script.js","0","","","","","","Indexable",""
"http://localhost:4178/images/momhero.png","0","","","","","","Indexable",""
"http://localhost:4178/images/JNS%20-%20HomeImage.png","0","","","","","","Indexable",""
"http://localhost:4178/case-study-farrell-electric","1","index,follow,max-image-preview:large,max-snippet:-1,max-video-preview:-1","","","https://knightlogics.com/case-study-farrell-electric","","Non-Indexable","Canonicalised"
"http://localhost:4178/case-study-sals-painting","1","index,follow,max-image-preview:large,max-snippet:-1,max-video-preview:-1","","","https://knightlogics.com/case-study-sals-painting","","Non-Indexable","Canonicalised"
"http://localhost:4178/style.css","0","","","","","","Indexable",""
"http://localhost:4178/script.js","0","","","","","","Indexable",""
"http://localhost:4178/style.css?v=20260428l","0","","","","","","Indexable",""
"http://localhost:4178/script.js?v=20260512a","0","","","","","","Indexable",""
