"Address","Occurrences","Title 1","Title 1 Length","Title 1 Pixel Width","Indexability","Indexability Status"
"https://knightlogics.com/","1","Custom Websites & Local SEO — Tampa Bay | Knight Logics","55","532","Indexable",""
"https://knightlogics.com/?openPackage=ops-custom-automation-system","1","Custom Websites & Local SEO — Tampa Bay | Knight Logics","55","532","Non-Indexable","Canonicalised"
"https://knightlogics.com/?openPackage=monthly-visibility-standard","1","Custom Websites & Local SEO — Tampa Bay | Knight Logics","55","532","Non-Indexable","Canonicalised"
"https://knightlogics.com/?openPackage=ecommerce-launch","1","Custom Websites & Local SEO — Tampa Bay | Knight Logics","55","532","Non-Indexable","Canonicalised"
"https://knightlogics.com/?openPackage=website-search-foundation-plus","1","Custom Websites & Local SEO — Tampa Bay | Knight Logics","55","532","Non-Indexable","Canonicalised"
"https://knightlogics.com/?openPackage=website-live-essential","1","Custom Websites & Local SEO — Tampa Bay | Knight Logics","55","532","Non-Indexable","Canonicalised"
"https://knightlogics.com/?openPackage=website-local-seo-starter","1","Custom Websites & Local SEO — Tampa Bay | Knight Logics","55","532","Non-Indexable","Canonicalised"
"https://knightlogics.com/?openPackage=ecommerce-payment-links","1","Custom Websites & Local SEO — Tampa Bay | Knight Logics","55","532","Non-Indexable","Canonicalised"
"https://knightlogics.com/?openPackage=monthly-local-seo-starter","1","Custom Websites & Local SEO — Tampa Bay | Knight Logics","55","532","Non-Indexable","Canonicalised"
"https://knightlogics.com/?openPackage=ops-simple-lead-tracker","1","Custom Websites & Local SEO — Tampa Bay | Knight Logics","55","532","Non-Indexable","Canonicalised"
"https://knightlogics.com/?openPackage=ops-job-records-system","1","Custom Websites & Local SEO — Tampa Bay | Knight Logics","55","532","Non-Indexable","Canonicalised"
"https://knightlogics.com/?openPackage=website-search-foundation","1","Custom Websites & Local SEO — Tampa Bay | Knight Logics","55","532","Non-Indexable","Canonicalised"
"https://knightlogics.com/?openPackage=ecommerce-advanced-system","1","Custom Websites & Local SEO — Tampa Bay | Knight Logics","55","532","Non-Indexable","Canonicalised"
"https://knightlogics.com/?openPackage=website-live-plus","1","Custom Websites & Local SEO — Tampa Bay | Knight Logics","55","532","Non-Indexable","Canonicalised"
"https://knightlogics.com/?openPackage=website-preview-launch","1","Custom Websites & Local SEO — Tampa Bay | Knight Logics","55","532","Non-Indexable","Canonicalised"
"https://knightlogics.com/?openPackage=ecommerce-preview-catalog","1","Custom Websites & Local SEO — Tampa Bay | Knight Logics","55","532","Non-Indexable","Canonicalised"
"https://knightlogics.com/?openPackage=ops-automated-job-records","1","Custom Websites & Local SEO — Tampa Bay | Knight Logics","55","532","Non-Indexable","Canonicalised"
"https://knightlogics.com/?openPackage=ops-contractor-crm-starter","1","Custom Websites & Local SEO — Tampa Bay | Knight Logics","55","532","Non-Indexable","Canonicalised"
"https://knightlogics.com/?openPackage=ops-full-growth-system","1","Custom Websites & Local SEO — Tampa Bay | Knight Logics","55","532","Non-Indexable","Canonicalised"
